,City,Latitude,Longitude,Maximum Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yarensk,62.17,49.09,42.37,91,99,2.39,RU,1589843869
1,albany,42.6,-73.97,68.0,52,75,4.7,US,1589843716
2,portland,45.52,-122.68,60.8,72,90,5.82,US,1589843620
3,olyka,50.72,25.81,50.0,98,99,7.83,UA,1589843869
4,castro,-24.79,-50.01,54.59,59,0,4.99,BR,1589843869
5,hermanus,-34.42,19.23,55.99,91,100,3.0,ZA,1589843869
6,half moon bay,37.46,-122.43,66.99,52,75,13.87,US,1589843869
7,rikitea,-23.12,-134.97,78.06,86,100,18.84,PF,1589843869
8,mataura,-46.19,168.86,44.76,74,25,1.66,NZ,1589843869
9,timmins,48.47,-81.33,59.0,21,75,11.41,CA,1589843869
10,encheng,22.18,112.3,82.0,67,25,1.63,CN,1589843869
11,karratha,-20.74,116.85,73.33,24,100,15.12,AU,1589843870
12,port elizabeth,-33.92,25.57,59.0,100,100,3.36,ZA,1589843870
13,chuy,-33.7,-53.46,59.88,83,0,9.86,UY,1589843870
14,ushuaia,-54.8,-68.3,41.0,93,90,18.34,AR,1589843870
15,pavilosta,56.89,21.19,44.6,93,100,4.7,LV,1589843870
16,yarada,17.65,83.27,86.02,72,100,18.34,IN,1589843870
17,cape town,-33.93,18.42,57.2,93,100,2.24,ZA,1589843870
18,leninskoye,47.94,132.62,54.25,46,0,8.1,RU,1589843870
19,carnarvon,-24.87,113.63,62.01,52,0,22.01,AU,1589843870
20,kaitangata,-46.28,169.85,45.86,73,41,2.44,NZ,1589843870
21,geraldton,-28.77,114.6,51.8,57,0,18.34,AU,1589843870
22,chokurdakh,70.63,147.92,27.07,95,16,8.81,RU,1589843870
23,sao joao da barra,-21.64,-41.05,72.27,84,0,7.7,BR,1589843870
24,jamestown,42.1,-79.24,66.2,68,1,14.99,US,1589843805
25,alyangula,-13.85,136.42,71.6,100,100,14.23,AU,1589843870
26,kuytun,54.34,101.5,52.72,83,2,5.7,RU,1589843870
27,hobart,-42.88,147.33,59.0,87,75,3.36,AU,1589843703
28,saint-philippe,-21.36,55.77,68.0,64,75,5.82,RE,1589843870
29,madang,-5.22,145.8,83.71,82,31,0.27,PG,1589843870
30,pisco,-13.7,-76.22,66.2,77,20,16.11,PE,1589843870
31,hofn,64.25,-15.21,40.78,72,64,10.49,IS,1589843870
32,lorengau,-2.02,147.27,83.86,80,42,13.91,PG,1589843870
33,punta arenas,-53.15,-70.92,41.0,86,90,12.75,CL,1589843870
34,ponta do sol,32.67,-17.1,64.4,72,40,16.11,PT,1589843870
35,khatanga,71.97,102.5,36.75,98,100,5.57,RU,1589843870
36,makkaveyevo,51.75,113.95,48.2,49,20,4.47,RU,1589843870
37,yaguajay,22.33,-79.24,81.77,78,100,7.18,CU,1589843870
38,mahebourg,-20.41,57.7,73.4,64,75,12.75,MU,1589843586
39,bowen,-20.02,148.23,75.99,94,90,9.17,AU,1589843871
40,airai,-8.93,125.41,63.19,100,89,4.59,TL,1589843871
41,matara,5.95,80.54,80.11,87,100,19.42,LK,1589843871
42,hilo,19.73,-155.09,82.4,58,90,8.05,US,1589843686
43,pangnirtung,66.15,-65.71,33.8,80,75,12.75,CA,1589843871
44,flin flon,54.77,-101.86,68.0,40,90,4.7,CA,1589843651
45,caravelas,-17.71,-39.25,75.09,81,2,7.72,BR,1589843871
46,madera,37.17,-119.83,68.0,52,44,1.01,US,1589843871
47,talnakh,69.49,88.4,42.8,81,75,4.47,RU,1589843871
48,baran,25.1,76.52,81.95,15,6,3.2,IN,1589843871
49,natal,-5.79,-35.21,78.8,94,21,5.82,BR,1589843765
50,aklavik,68.22,-135.01,32.0,92,75,4.7,CA,1589843871
51,busselton,-33.65,115.33,48.0,59,82,3.29,AU,1589843871
52,southbridge,42.08,-72.03,61.0,48,100,1.01,US,1589843871
53,tilichiki,60.47,166.1,28.63,96,44,8.41,RU,1589843871
54,new norfolk,-42.78,147.06,50.0,78,100,2.77,AU,1589843871
55,muros,42.78,-9.06,55.99,77,3,1.01,ES,1589843871
56,inuvik,68.35,-133.72,32.0,94,75,4.7,CA,1589843850
57,smolenskoye,52.3,85.08,61.5,74,77,3.06,RU,1589843871
58,ribeira grande,38.52,-28.7,64.4,93,40,8.05,PT,1589843871
59,tuktoyaktuk,69.45,-133.04,30.2,74,90,6.93,CA,1589843871
60,tiksi,71.69,128.87,30.85,97,93,4.14,RU,1589843871
61,east london,-33.02,27.91,63.93,79,99,10.87,ZA,1589843871
62,wyndham,37.7,-77.61,62.6,88,90,3.36,US,1589843871
63,chany,55.31,76.76,59.95,78,79,5.82,RU,1589843871
64,ryotsu,38.08,138.43,60.8,100,90,9.17,JP,1589843872
65,apac,1.98,32.54,65.08,97,18,2.71,UG,1589843872
66,bathsheba,13.22,-59.52,82.4,65,20,14.99,BB,1589843872
67,bintulu,3.17,113.03,75.2,100,75,3.36,MY,1589843872
68,yellowknife,62.46,-114.35,33.8,70,90,11.41,CA,1589843872
69,batsfjord,70.63,29.72,33.8,94,75,8.05,NO,1589843872
70,saint anthony,45.02,-93.22,66.99,45,90,11.41,US,1589843872
71,ust-nera,64.57,143.2,41.18,67,23,4.83,RU,1589843872
72,andra,62.51,65.89,51.42,92,99,4.05,RU,1589843872
73,lavrentiya,65.58,-171.0,32.09,95,80,11.63,RU,1589843872
74,vaini,-21.2,-175.2,78.8,69,40,5.82,TO,1589843872
75,dingle,11.0,122.67,83.03,79,59,2.55,PH,1589843872
76,brigantine,39.41,-74.36,60.8,55,90,20.8,US,1589843872
77,vallentuna,59.53,18.08,41.0,93,18,2.24,SE,1589843872
78,ballina,-28.87,153.57,63.0,87,40,5.82,AU,1589843872
79,ayan,56.45,138.17,36.77,81,0,7.4,RU,1589843872
80,pevek,69.7,170.31,29.77,93,0,2.3,RU,1589843872
81,catole do rocha,-6.34,-37.75,78.01,77,84,4.83,BR,1589843872
82,bluff,-46.6,168.33,44.22,80,54,6.73,NZ,1589843872
83,naples,40.83,14.25,73.4,56,66,3.36,IT,1589843667
84,bone,51.97,12.14,57.0,69,87,6.91,DE,1589843872
85,haimen,23.19,116.61,75.2,100,20,2.24,CN,1589843872
86,fortuna,40.6,-124.16,61.0,82,75,4.7,US,1589843872
87,shelburne,44.08,-80.2,57.2,93,75,4.7,CA,1589843651
88,qorveh,35.17,47.8,56.26,60,2,1.54,IR,1589843849
89,jumla,29.27,82.18,49.03,48,8,5.08,NP,1589843873
90,tautira,-17.73,-149.15,84.2,74,75,4.7,PF,1589843873
91,tombouctou,20.0,-3.0,86.97,11,0,10.49,ML,1589843873
92,butaritari,3.07,172.79,82.4,76,83,17.29,KI,1589843873
93,torbay,47.67,-52.73,36.0,91,90,2.24,CA,1589843873
94,borba,-4.39,-59.59,76.77,96,93,0.83,BR,1589843873
95,bud,39.45,-86.18,64.4,77,90,3.36,US,1589843873
96,cherskiy,68.75,161.3,46.35,48,0,7.61,RU,1589843873
97,gogrial,8.53,28.1,75.65,75,100,4.79,SS,1589843873
98,puerto quijarro,-17.78,-57.77,72.39,71,0,2.1,BO,1589843873
99,darnah,32.77,22.64,76.73,51,0,9.55,LY,1589843873
100,luwuk,-0.95,122.79,81.45,76,100,2.21,ID,1589843873
101,port alfred,-33.59,26.89,62.01,95,100,1.01,ZA,1589843873
102,egvekinot,66.32,-179.17,27.68,95,5,15.93,RU,1589843873
103,bowling green,36.99,-86.44,71.01,72,90,9.35,US,1589843689
104,okha,53.57,142.95,39.16,73,1,5.23,RU,1589843873
105,daru,-9.08,143.21,81.97,86,100,16.11,PG,1589843873
106,sandwick,60.0,-1.25,48.2,93,54,13.87,GB,1589843873
107,gari,59.43,62.35,44.46,68,96,2.95,RU,1589843873
108,san juan,-31.54,-68.54,67.03,32,0,5.99,AR,1589843794
109,qaanaaq,77.48,-69.36,30.81,89,30,1.25,GL,1589843873
110,dalbandin,28.89,64.41,78.46,22,0,14.12,PK,1589843873
111,kapaa,22.08,-159.32,73.4,94,90,12.75,US,1589843873
112,gazli,40.13,63.45,62.1,31,64,5.12,UZ,1589843873
113,upernavik,72.79,-56.15,34.99,81,0,4.76,GL,1589843873
114,buala,-8.14,159.59,84.54,76,89,10.96,SB,1589843873
115,puerto maldonado,-12.6,-69.18,77.49,65,12,1.5,PE,1589843874
116,srednekolymsk,67.45,153.68,45.66,53,0,11.99,RU,1589843874
117,arraial do cabo,-22.97,-42.03,68.0,100,20,6.91,BR,1589843874
